,Problem,Alg_name,Iteration,Evaluations,Objectives,n_variables,xl,xu,exec_time,approx_nadir,solutions_shape,pop_size,path,image_location
0,VU1,NSGA2,100,4000,2,2,[-3. -3.],[3. 3.],0.5560829639434814,[ 0.99999963 37.        ],40,40,/home/582/ow6835/MOOP/Result/VU1/NSGA2_VU1_2/VU1_NSGA2_Iteration-100_Obj-2_Var-2.e7f8a03d-766a-4b9e-8293-f1b647a27736,/home/582/ow6835/MOOP/Result/Images/VU1/NSGA2_VU1Var-2/VU1_NSGA2_Iteration-100_Obj-2_Var-2_Pop_size40
1,VU1,NSGA2,200,20000,2,2,[-3. -3.],[3. 3.],1.860492706298828,[ 0.9999999 37.       ],100,100,/home/582/ow6835/MOOP/Result/VU1/NSGA2_VU1_2/VU1_NSGA2_Iteration-200_Obj-2_Var-2.14557ac1-9d84-4674-9c39-26649fa28317,/home/582/ow6835/MOOP/Result/Images/VU1/NSGA2_VU1Var-2/VU1_NSGA2_Iteration-200_Obj-2_Var-2_Pop_size100
2,VU1,NSGA2,100,10000,2,2,[-3. -3.],[3. 3.],0.9931082725524902,[ 0.99999951 36.99998847],100,100,/home/582/ow6835/MOOP/Result/VU1/NSGA2_VU1_2/VU1_NSGA2_Iteration-100_Obj-2_Var-2.003d6ca6-ae51-42a5-adde-23ace7e0e9ea,/home/582/ow6835/MOOP/Result/Images/VU1/NSGA2_VU1Var-2/VU1_NSGA2_Iteration-100_Obj-2_Var-2_Pop_size100
3,VU1,NSGA2,200,40000,2,2,[-3. -3.],[3. 3.],4.098671197891235,[ 0.99999918 37.        ],200,200,/home/582/ow6835/MOOP/Result/VU1/NSGA2_VU1_2/VU1_NSGA2_Iteration-200_Obj-2_Var-2.f248fe85-829a-4eda-b66d-88aa9b7f50c7,/home/582/ow6835/MOOP/Result/Images/VU1/NSGA2_VU1Var-2/VU1_NSGA2_Iteration-200_Obj-2_Var-2_Pop_size200
4,VU1,NSGA2,200,8000,2,2,[-3. -3.],[3. 3.],0.9660775661468506,[ 1. 37.],40,40,/home/582/ow6835/MOOP/Result/VU1/NSGA2_VU1_2/VU1_NSGA2_Iteration-200_Obj-2_Var-2.398b836b-e6f8-45c0-82cd-4d9bc3891246,/home/582/ow6835/MOOP/Result/Images/VU1/NSGA2_VU1Var-2/VU1_NSGA2_Iteration-200_Obj-2_Var-2_Pop_size40
5,VU1,NSGA2,500,20000,2,2,[-3. -3.],[3. 3.],2.45374608039856,[ 1. 37.],40,40,/home/582/ow6835/MOOP/Result/VU1/NSGA2_VU1_2/VU1_NSGA2_Iteration-500_Obj-2_Var-2.7a87cc79-2022-4f08-8ae7-c13ca1b6bc5e,/home/582/ow6835/MOOP/Result/Images/VU1/NSGA2_VU1Var-2/VU1_NSGA2_Iteration-500_Obj-2_Var-2_Pop_size40
6,VU1,NSGA2,100,20000,2,2,[-3. -3.],[3. 3.],1.806649208068848,[ 0.99999317 36.9985695 ],200,200,/home/582/ow6835/MOOP/Result/VU1/NSGA2_VU1_2/VU1_NSGA2_Iteration-100_Obj-2_Var-2.39da15b6-c1dc-4e1a-87a2-062313c2a764,/home/582/ow6835/MOOP/Result/Images/VU1/NSGA2_VU1Var-2/VU1_NSGA2_Iteration-100_Obj-2_Var-2_Pop_size200
7,VU1,NSGA2,500,50000,2,2,[-3. -3.],[3. 3.],5.013775110244751,[ 0.9999999 37.       ],100,100,/home/582/ow6835/MOOP/Result/VU1/NSGA2_VU1_2/VU1_NSGA2_Iteration-500_Obj-2_Var-2.c0c34d55-ebd6-46f6-a2c7-9851b32e28d9,/home/582/ow6835/MOOP/Result/Images/VU1/NSGA2_VU1Var-2/VU1_NSGA2_Iteration-500_Obj-2_Var-2_Pop_size100
8,VU1,NSGA2,500,100000,2,2,[-3. -3.],[3. 3.],9.635913372039797,[ 0.99999984 37.        ],200,200,/home/582/ow6835/MOOP/Result/VU1/NSGA2_VU1_2/VU1_NSGA2_Iteration-500_Obj-2_Var-2.70826035-cc9d-4879-823a-fd0a61ae62e2,/home/582/ow6835/MOOP/Result/Images/VU1/NSGA2_VU1Var-2/VU1_NSGA2_Iteration-500_Obj-2_Var-2_Pop_size200
9,VU1,NSGA2,1000,40000,2,2,[-3. -3.],[3. 3.],4.902376413345337,[ 1. 37.],40,40,/home/582/ow6835/MOOP/Result/VU1/NSGA2_VU1_2/VU1_NSGA2_Iteration-1000_Obj-2_Var-2.ac9c594e-1a67-4943-879b-45ba9fb6583d,/home/582/ow6835/MOOP/Result/Images/VU1/NSGA2_VU1Var-2/VU1_NSGA2_Iteration-1000_Obj-2_Var-2_Pop_size40
